Id,SalePrice
1461,76172.94583
1462,131447.1936
1463,113419.3434
1464,136033.8267
1465,187898.2399
1466,129572.9146
1467,134357.8116
1468,129355.5254
1469,159535.8928
1470,54676.69034
1471,167824.9274
1472,87973.00318
1473,63933.39086
1474,127187.0513
1475,118450.6831
1476,248538.1759
1477,211290.6606
1478,242053.1447
1479,223308.9832
1480,299584.1665
1481,226668.4225
1482,193139.8664
1483,148786.7592
1484,155413.7169
1485,142801.9098
1486,157506.4189
1487,227960.0609
1488,210268.2684
1489,163020.3928
1490,148206.1263
1491,159487.0029
1492,72123.86967
1493,141762.7936
1494,208784.6284
1495,213531.3977
1496,170322.9336
1497,153266.3287
1498,143493.1747
1499,142968.0015
1500,117259.1775
1501,123800.3517
1502,140075.6253
1503,207666.4223
1504,187364.7224
1505,172959.0646
1506,162565.9205
1507,150739.209
1508,162306.5617
1509,119856.5898
1510,104964.8923
1511,94555.52802
1512,123571.6828
1513,111171.5232
1514,121568.9751
1515,108901.1607
1516,126358.4297
1517,109561.5037
1518,126201.6212
1519,172636.3334
1520,83750.19776
1521,88347.66415
1522,131488.7484
1523,45941.10624
1524,74931.61349
1525,79180.82502
1526,81923.66953
1527,42122.3896
1528,96473.97419
1529,101161.5822
1530,127547.0008
1531,38249.16782
1532,65998.80221
1533,96835.03669
1534,96000.11788
1535,82114.93232
1536,78532.79971
1537,-3865.520383
1538,170850.1837
1539,171130.5883
1540,82978.10719
1541,111791.9735
1542,85582.55296
1543,143305.7632
1544,40631.31785
1545,86591.96619
1546,101625.6266
1547,79916.66982
1548,103157.8593
1549,64625.87213
1550,97748.7852
1551,107193.3443
1552,64405.72534
1553,101823.9603
1554,86443.29969
1555,117709.6083
1556,77457.74909
1557,81206.07888
1558,86274.80379
1559,42456.04322
1560,94737.0064
1561,98046.93065
1562,72466.19512
1563,72491.24064
1564,96989.3757
1565,85889.81566
1566,172042.5692
1567,46526.03017
1568,149184.8708
1569,51019.32796
1570,93066.10119
1571,43678.255
1572,86057.19059
1573,163792.944
1574,114428.1301
1575,166233.6709
1576,152162.4765
1577,161727.5079
1578,119699.8059
1579,82025.7258
1580,159333.2871
1581,94457.74026
1582,79426.99681
1583,236317.2697
1584,165801.4165
1585,101639.7753
1586,-12524.84995
1587,54085.80593
1588,87417.23284
1589,51846.96289
1590,102727.9351
1591,42750.45802
1592,97042.90024
1593,104661.8538
1594,39666.67883
1595,68520.01911
1596,162079.0058
1597,118937.9597
1598,149317.9491
1599,157969.7522
1600,183501.7265
1601,-19644.57436
1602,89884.16365
1603,43178.90995
1604,199443.0732
1605,199913.2444
1606,138622.1296
1607,186721.7216
1608,176542.7669
1609,163321.6317
1610,88646.47348
1611,93178.17754
1612,120731.9119
1613,118692.2886
1614,71454.2615
1615,32165.16825
1616,32497.02139
1617,39223.53393
1618,71803.27152
1619,81949.95222
1620,164248.9763
1621,81485.90504
1622,91839.50775
1623,217310.745
1624,147350.4871
1625,102966.5539
1626,146667.0183
1627,136946.2634
1628,198864.5188
1629,138966.8146
1630,226572.9714
1631,195241.6396
1632,202453.6611
1633,139376.1523
1634,135127.6857
1635,126410.4401
1636,134303.1214
1637,119618.9536
1638,160567.7004
1639,146958.6019
1640,168278.8381
1641,135677.5499
1642,159411.852
1643,190758.1059
1644,188099.3887
1645,127742.8903
1646,133981.7412
1647,162787.3852
1648,101512.919
1649,89865.98765
1650,52895.31398
1651,54430.91741
1652,87973.00318
1653,87973.00318
1654,125182.0662
1655,151193.9144
1656,127241.0557
1657,125225.8959
1658,127252.7957
1659,118312.9328
1660,81478.11136
1661,274251.0171
1662,239198.3731
1663,255500.0521
1664,316233.3913
1665,243608.7788
1666,223870.0418
1667,227745.4292
1668,242780.1918
1669,233835.8048
1670,246634.2718
1671,187428.101
1672,274957.6206
1673,220181.6986
1674,210912.6711
1675,141066.8515
1676,137605.4861
1677,169121.1649
1678,311643.4334
1679,248954.2086
1680,239478.591
1681,221551.3204
1682,221009.7552
1683,165963.7322
1684,154617.0489
1685,128010.6865
1686,158378.0159
1687,139776.098
1688,157876.8999
1689,158678.2528
1690,155226.7921
1691,151269.2748
1692,194240.1234
1693,140010.8997
1694,129578.5039
1695,138458.0775
1696,183084.3725
1697,138534.7794
1698,217356.02
1699,228697.9247
1700,166766.7355
1701,198609.5295
1702,216009.6832
1703,221707.5397
1704,215415.3785
1705,196777.3331
1706,271951.1192
1707,170727.9703
1708,169883.0929
1709,236226.2804
1710,193507.3762
1711,193641.6627
1712,212437.3608
1713,188106.8206
1714,175959.4427
1715,155763.2065
